500
0 25.567,17 0,00 25.567,17 0,00 0
395 0,04 43.396,82 0,03 39.042,13 3,74485508284051
396 0,02 43.396,81 0,02 39.042,12 2,76072507984628
397 0,10 43.397,03 0,09 39.042,46 2,76072507984628
398 0,10 43.396,95 0,09 39.042,23 2,76072507984628
399 0,13 43.397,16 0,11 39.042,05 2,06998780231655
400 0,08 43.397,79 0,07 39.043,64 2,06998780231655
401 0,05 43.397,08 0,04 39.042,76 3,10545022176417
402 0,04 43.397,25 0,04 39.041,89 3,10545022176417
403 0,10 43.397,06 0,09 39.042,34 -2,71904998985346
404 0,09 43.397,18 0,08 39.042,22 -2,71904998985346
405 0,05 43.397,64 0,04 39.042,99 -2,71904998985346
406 0,00 43.398,19 0,00 39.040,02 -4,02593092804857
407 0,02 43.398,47 0,01 39.039,58 1,61553417701284
408 0,10 43.397,97 0,09 39.043,68 1,61553417701284
409 0,17 43.398,20 0,15 39.041,67 1,61553417701284
410 0,08 43.397,98 0,07 39.040,25 1,61553417701284
411 0,03 43.398,27 0,03 39.041,10 -3,92797340950718
412 0,12 43.398,38 0,10 39.044,12 -3,92797340950718
413 0,06 43.398,97 0,05 39.041,59 -3,92797340950718
414 0,00 43.398,42 0,00 39.040,98 -0,622545683349092
415 0,06 43.398,91 0,06 39.039,20 -0,622545683349092
416 0,09 43.398,71 0,08 39.038,56 -0,622545683349092
417 0,02 43.398,03 0,02 39.034,61 -0,622545683349092
418 0,07 43.398,30 0,06 39.034,60 -0,622545683349092
419 0,10 43.398,27 0,09 39.035,82 -0,622545683349092
420 0,10 43.398,50 0,09 39.034,15 -0,622545683349092
421 0,00 43.398,43 0,00 39.033,75 -0,622545683349092
422 0,00 43.397,97 0,00 39.032,67 -0,622545683349092
423 0,05 43.398,45 0,04 39.035,33 -0,622545683349092
424 0,08 43.398,61 0,07 39.038,39 -0,617073485550762
425 0,03 43.399,26 0,03 39.041,21 -0,617073485550762
426 0,07 43.398,52 0,06 39.043,95 -0,617073485550762
427 0,01 43.397,98 0,01 39.038,91 -0,617073485550762
428 0,00 43.398,31 0,00 39.040,26 4,60541377478556
429 0,03 43.398,03 0,02 39.040,64 4,60541377478556
430 0,06 43.398,10 0,05 39.040,92 -0,730985857750527
431 0,02 43.398,01 0,02 39.040,39 7,01462079620582
432 0,06 43.398,07 0,05 39.041,23 -3,63584735072575
433 0,01 43.398,22 0,01 39.041,11 -3,63584735072575
434 0,04 43.398,00 0,04 39.039,26 -3,63584735072575
435 -0,06 43.401,25 -0,05 39.040,38 -3,63584735072575
436 0,07 43.401,02 0,06 39.046,47 -3,63584735072575
437 0,10 43.400,73 0,09 39.043,88 -6,01960303441061
438 0,04 43.399,14 0,04 39.044,91 -3,64976604142769
439 0,06 43.398,17 0,05 39.041,81 -3,64976604142769
440 0,03 43.398,49 0,03 39.041,84 0,824535973970508
441 0,04 43.398,26 0,03 39.043,54 0,845919086970277
442 0,04 43.398,19 0,03 39.043,53 0,845919086970277
443 0,03 43.398,18 0,03 39.042,41 -3,14309226241246
444 0,02 43.399,02 0,02 39.044,24 -5,74878820670892
445 0,07 43.398,29 0,06 39.044,36 -4,94420479514387
446 0,00 43.400,46 0,00 39.045,44 -4,94420479514387
447 0,14 43.398,38 0,13 39.044,86 -4,94420479514387
448 0,10 43.398,16 0,09 39.042,89 -4,94420479514387
449 0,04 43.398,10 0,04 39.043,10 -4,94412120828191
450 0,10 43.398,82 0,09 39.043,12 -6,00183970897797
451 0,09 43.398,63 0,08 39.043,99 -5,14456563428756
452 0,03 43.398,35 0,03 39.042,67 -5,14456563428756
453 0,02 43.398,91 0,02 39.043,11 -5,14456563428756
